doc_id,contents,data_type,metadata
1,"대덕특구 국가전략기술 확인제도 컨설팅 수요기업 모집
지원 분야: 멘토링ㆍ컨설팅ㆍ교육
지원 지역: 대전
신청 대상(요약): 일반기업,1인 창조기업
신청 대상(상세): 보유ㆍ관리하고 있거나 연구개발 중인 기술의 국가전략기술 해당 여부를 확인받고자 하는 기술육성주체 ※ (보유·관리) 국가전략기술에 해당하는 기술을 보유·관리하고 있음을 특허, 논문, 공인시험인증 자료, 기타 지식재산권 및 인증내역 등을 통해 입증할 수 있는 경우 (연구개발) 국가전략기술에 해당하는 기술을 연구개발하고 있음을 특허, 논문, 공인시험인증 자료, 기타 지식재산권 및 인증내역 등을 통해 현재 기술 수준을 입증 및 과제제안서, 기술개발서 등을 통해 목표 달성 가능성을 입증할 수 있는 경우
창업 기간 조건: 3년미만,5년미만,7년미만,10년미만
대상 연령: 만 20세 이상 ~ 만 39세 이하,만 40세 이상
공고 내용: 「국가전략기술 육성에 관한 특별법」에 따른 국가전략기술 확인제도 지정 의향이 있는 기업을 모집하오니, 많은 관심과 신청 바랍니다.
모집 진행 여부: Y
모집 주체: 주식회사 윕스
주관 기관: 민간
담당 부서: 사업기획팀",announcements,{'dummy': None}
2,"첨단기술기업 지정 컨설팅 희망기업 모집 공고
지원 분야: 멘토링ㆍ컨설팅ㆍ교육
지원 지역: 대전
신청 대상(요약): 일반기업
신청 대상(상세): 1.대덕특구 소재 중소벤처기업 2.첨단기술·제품을 생산 및 판매하는 기업(산업부 고시) 3.첨단기술·제품의 매출액이 20%이상인 기업(신청일 직접 4분기) 4.연구개발비 비율이 3~5% 이상인 기업
창업 기간 조건: 5년미만,7년미만,10년미만
대상 연령: 만 20세 이상 ~ 만 39세 이하,만 40세 이상
공고 내용: 첨단기술기업 지정 컨설팅 희망기업을 모집하오니, 많은 관심과 신청 부탁드립니다.
모집 진행 여부: Y
모집 주체: 주식회사 윕스
주관 기관: 민간
담당 부서: 사업기획팀",announcements,{'dummy': None}
3,"[충남신용보증재단] 2026년 2월 창업아카데미 교육생 모집
지원 분야: 창업교육
지원 지역: 충남
신청 대상(요약): 대학생,일반인,대학,연구기관,일반기업,1인 창조기업
신청 대상(상세): 충청남도 소재 중소기업·소상공인 및 예비창업자
창업 기간 조건: 예비창업자,1년미만,2년미만,3년미만,5년미만,7년미만,10년미만
대상 연령: 만 20세 이상 ~ 만 39세 이하,만 40세 이상
공고 내용: 충남신용보증재단에서 충남지역 예비창업자와 중소기업 및 소상공인의 사업 역량 강화를 위해 2025년 9월 창업아카데미 교육생을 모집합니다.
모집 진행 여부: Y
모집 주체: 충남신용보증재단
주관 기관: 공공기관
담당 부서: 창업성장지원부",announcements,{'dummy': None}
4,"[고려대 캠퍼스타운] 제19회 창업입주경진대회 『AI · 딥테크 스타트업 프론티어 선발전』
지원 분야: 시설ㆍ공간ㆍ보육
지원 지역: 서울
신청 대상(요약): 청소년,대학생,일반인,대학,연구기관,일반기업,1인 창조기업
신청 대상(상세): □ 지원자격 ○ 대표자 연령이 39세 이하이며, 창업을 하려는 개인 등(예비창업자) ○ 대표자 연령이 39세 이하이며, 사업을 개시한 날로부터 7년이 지나지 아니한 개인 또는 법인사업자. 단, 「중소기업창업 지원법」 제25조 제4항에 따른 신산업 창업 분야의 중소기업의 경우 업력 10년 이하로 한다. ※ 고려대학(원)교 교내 창업(교원, 학생, 동문) 및 외국인 유학생 창업자는 대표자 연령 제한 적용 제외 ※ 대표자 연령 및 기업 업력 기준은 창업입주경진대회 모집 공고 시점 기준 ※ 제대군인의 경우 「서울시 청년 기본 조례」에 따라 아래와 같이 연령 상한 한도 상향 - 2년 이상 복무 : 만 42세 이하 / 1년 이상 2년 미만 복무 : 만 41세 이하 / 1년 미만 복무 : 만 40세 이하 ※ 공동대표일 경우 1명이라도 자격요건 해당시 가능 ○ 입주 계약 체결 이후 3개월 이내 고려대 캠퍼스타운 창업지원공간으로 주소 이전이 가능한 자 ※ 초기창업자는 3개월 이내, 예비창업자의 경우 6개월 이내 사업자주소지 등록 및 이전하여야 하며, 사업단과 협의를 통해 본점, 지점(지사), 기업부설연구소 설립 등록 가능
신청 제외 대상: ○ ｢중소기업 창업지원법 시행령｣ 제4조 각 항에 해당하는 창업기업 ○ 금융기관 등으로부터 채무불이행으로 규제중인 자 또는 국세 혹은 지방세를 체납 중인 자. 다만, 신용회복위원회의 사전채무조정(프리워크아웃), 개인워크아웃에서 채무조정합의서를 체결한 경우, 법원의 개인회생제도에서 변제계획인가를 받거나 파산면책 선고자, 회생인가를 받은 기업, 중소기업진흥공단 등으로부터 재창업자금을 지원받은 경우, 세금분납 계획에 따른 성실 납부기업(인), 정부지원 협약 전까지 세금완납기업(인), 정부 공공기관으로부터 재기지원 필요성을 인정받은 기업(인), 건강관리시스템기업구조 개선 진단을 통한 정상화 의결기업은 신청 가능 ○ 서울 캠퍼스타운 사업으로 타 대학 창업공간에 입주하여 지원사업을 수혜 중인 자. 다만, 입주개시일 이전에 사업 수혜기간이 종료되거나 사업을 중도포기한 자는 신청 가능 ○ 신청일 현재 휴업 중인 기업 ○ 서울시 캠퍼스타운 사업에서 문제가 있어 퇴거 조치된 기업 ○ 기타 서울시장이 참여 제한의 사유가 있다고 인정하는 자
창업 기간 조건: 예비창업자,1년미만,2년미만,3년미만,5년미만,7년미만
대상 연령: 만 20세 미만,만 20세 이상 ~ 만 39세 이하
공고 내용: 혁신적인 AI · 딥테크 기반 아이디어와 기술을 보유한 창업 인재를 발굴하고 성장 가능성이 높은 창업기업으로 육성하여 대학 중심의 창업생태계 구축과 일자리 창출과 지역경제 활성화에 기여하고자 『제19회 창업입주경진대회』 참가자를 다음과 같이 모집합니다.
모집 진행 여부: Y
모집 주체: 고려대학교 RISE 사업단
주관 기관: 교육기관
담당 부서: RISE 사업단 캠퍼스타운 사업팀",announcements,{'dummy': None}
5,"[입주기업모집2026년 경기중소기업성장지원센터 입주공고 모집 안내 _01.30까지
지원 분야: 시설ㆍ공간ㆍ보육
지원 지역: 경기
신청 대상(요약): 대학생,일반인,대학,연구기관,일반기업,1인 창조기업
신청 대상(상세): 예비창업, 창업 7년 미만
창업 기간 조건: 예비창업자,1년미만,2년미만,3년미만,5년미만,7년미만
대상 연령: 만 20세 이상 ~ 만 39세 이하,만 40세 이상
공고 내용: 기술적·산업·지능화 혁신 기술을 보유한 아이템과 사업성을 갖춘 (예비)창업자 발굴, 체계적인 보육지원을 통해 성장가능성이 높은 혁신형 중소기업으로 육성코자 경기중소기업성장지원센터 신규 입주기업을 모집합니다.
모집 진행 여부: Y
모집 주체: 경기중소기업성장지원센터
주관 기관: 민간
담당 부서: 운영사무실",announcements,{'dummy': None}
6,"앤틀러코리아 스타트업 제너레이터 프로그램 8기 참여자 모집
지원 분야: 사업화
지원 지역: 전국
신청 대상(요약): 대학생,일반인,대학,연구기관,일반기업
신청 대상(상세): 1. 혁신적인 비전과 잠재력을 보유한 (예비)창업자 혹은 초기 창업팀 2. 투자 이력이 없는 창업팀 또는 시드 투자 유치를 희망하는 설립 2년 미만 법인 *100명 선발 시 조기 마감될 수 있으니 빠른 지원 부탁드립니다. 서류 검토는 지원서 제출 순으로 검토 합니다(선착순). - 창업 아이디어나 팀이 완성되어 있지 않아도 지원 가능합니다. 10주간의 프로그램 동안 팀을 구성하고 문제를 정의하며 시장을 검증할 수 있도록 설계되어 있습니다. 앤틀러는 실행력과 가능성 중심으로 선발합니다. 이전 기수에 합류한 창업자의 프로필을 확인해 보세요. -이미 비즈니스를 시작했거나 팀이어도 지원 가능합니다. 앤틀러코리에서 함께 합류한 창업자 및 앤틀러 파트너, 어드바이저의 피드백을 주고 받으며 더 빠르게 비즈니스를 성장시킬 수 있도록 설계되어 있습니다. 이 과정에서 유의미한 매출이 있는 경우에는 언제든 바로 투자심사가 진행 가능합니다.
창업 기간 조건: 예비창업자,1년미만,2년미만
대상 연령: 만 20세 미만,만 20세 이상 ~ 만 39세 이하
공고 내용: 앤틀러코리아 스타트업 제너레이터 8기 모집을 공고하오니 (예비)창업자들의 많은 참여 바랍니다.
모집 진행 여부: Y
모집 주체: 앤틀러코리아
주관 기관: 민간
담당 부서: 프로그램팀",announcements,{'dummy': None}
7,"2026년 제품화 올인원팩(All-In-one pack) 주관기관 모집 공고
지원 분야: 사업화
지원 지역: 전국
신청 대상(요약): 일반기업
신청 대상(상세): 제품화 전 과정(설계‧시제품‧시금형‧초도양산) 지원 역량을 보유한 민간 제조 전문서비스 기업
신청 제외 대상: 공고문 참조
창업 기간 조건: 1년미만,2년미만,3년미만,5년미만,7년미만,10년미만
대상 연령: 만 20세 미만,만 20세 이상 ~ 만 39세 이하,만 40세 이상
공고 내용: 제조 스타트업의 제품화 전 과정을 원스톱으로 지원하여 신속한 시장 진입을 돕는 제품화 올인원팩 사업의 ‘제조전문 주관기관’을 다음과 같이 모집합니다.
모집 진행 여부: Y
모집 주체: 중소벤처기업부 장관
주관 기관: 공공기관
담당 부서: 지역전략실",announcements,{'dummy': None}
8,"2026 관광플러스테크 참여기업 공모
지원 분야: 사업화
지원 지역: 전국
신청 대상(요약): 일반기업
신청 대상(상세): 국가연구개발사업* 수행 중이거나 완료 실적을 보유한 기업 * 국가과학기술지식정보서비스(www.ntis.go.kr)에 등록된 과제의 경우 인정 * 자격검증 기간 내 NTIS 내 조회·확인 불가 시, 부적격 판정 예정
창업 기간 조건: 예비창업자,1년미만,2년미만,3년미만,5년미만,7년미만,10년미만
대상 연령: 만 20세 이상 ~ 만 39세 이하,만 40세 이상
공고 내용: 관광산업 연계 및 기술 적용 가능 기업을 발굴하여, 관광분야로 사업을 확장할 수 있도록 관광사업화를 지원하는 「2026 관광플러스테크」사업을 추진중에 있습니다. 동 사업에 참여할 국내 유망 기업을 아래와 같이 공모하오니 많은 관심과 참여 바랍니다.
모집 진행 여부: Y
모집 주체: 한국관광공사
주관 기관: 공공기관
담당 부서: 관광기업육성팀",announcements,{'dummy': None}
9,"2026년 프리 팁스 신규 주관기관 모집공고
지원 분야: 사업화
지원 지역: 전국
신청 대상(요약): 일반기업
신청 대상(상세): 기업 선정평가/관리, 창업지원 프로그램 및 지역 네트워크 운영 등 창업기업 지원 역량과 전문성을 보유한 공공 및 민간기관
신청 제외 대상: 신청제외대상 세부내용 공고문 참고
창업 기간 조건: 예비창업자,1년미만,2년미만,3년미만,5년미만,7년미만,10년미만
대상 연령: 만 20세 미만,만 20세 이상 ~ 만 39세 이하,만 40세 이상
공고 내용: 민간투자와 연계하여 비수도권 소재 유망 창업기업을 팁스(TIPS) 기업으로 발굴 및 육성하기 위해 우수한 창업지원 역량을 갖춘 프리 팁스의 주관기관을 다음과 같이 모집 공고합니다.
모집 진행 여부: Y
모집 주체: 중소벤처기업부
주관 기관: 공공기관
담당 부서: 민관협력실",announcements,{'dummy': None}
10,"2026년 청년 창업·창직 지원사업 (기술업종) 모집공고
지원 분야: 사업화
지원 지역: 충남
신청 대상(요약): 대학생,일반인,일반기업
신청 대상(상세): 19세 이상 39세 이하 청년(공통) ※공고일 기준 1986년 1월 3일 출생자부터 2007년 1월 2일 출생자까지 해당 -예비창업자: 충청남도 거주자 ※선정 이후 사업 기간 내 충청남도 사업자 등록 필수 -창업기업: 충청남도 소재 7년 미만 창업기업 ※단 공고일 현재 도에 주민등록상 주소를 두고 있는 대한민국 국적의 청년 개인 또는 단체인 경우 우선 선정 가능
신청 제외 대상: ✔ 국세 또는 지방세 체납으로 규제 중인 자 * 단, 세무분납계획에 따른 성실납부자(체납처분유예승인), 신청·접수 마감일까지 국세, 지방세 등의 특수 채무 변제 후 증빙이 가능한 자 제외 ✔ 2022~2025년도 청년 창업·창직 지원사업, 충남 청년 공모사업 선정기업 * 2026년 청년 창업·창직 지원사업(기술업종·생활업종) 간 중복 지원 불가 ✔ 충남 지역 출자·출연 기관의 창업지원 사업에 중복 수혜를 받는 자 * 단, 동일한 아이템이 아니고 사업화를 위한 지원항목이 중복되지 않는 경우, 사업의 취지와 목적을 고려해 심의를 통해 지원할 수 있음. ✔ 기타 충청남도, (재)충남창조경제혁신센터에서 참여제한의 사유가 있다고 인정하는 자 * 운영기관의 요청사항(자료 제출 등)의 고의적 미이행 등
창업 기간 조건: 예비창업자,7년미만
대상 연령: 만 20세 이상 ~ 만 39세 이하
공고 내용: 「2026년 충청남도 청년 창업·창직 지원사업(기술업종)」에 참여할 우수하고 참신한 아이템을 가진 청년 (예비)창업자를 다음과 같이 모집하오니 많은 신청바랍니다.
모집 진행 여부: Y
모집 주체: (재)충남창조경제혁신센터
주관 기관: 공공기관
담당 부서: O.I추진실",announcements,{'dummy': None}
