mode,correctness,faithfulness,reason,missing_nuggets,unsupported_claims,contradicted_claims,missing_nuggets_count,unsupported_claims_count,contradicted_claims_count,bleu,rouge1_f1,rouge2_f1,rougeL_f1,meteor,sem_score,coherence,consistency,fluency,relevance
baseline_pure,0,0,The answer does not provide the requested information and includes irrelevant claims.,"['청년, 초기 창업자, 프리랜서, 부업하는 직장인 등 세금이 궁금한 누구나']","['LLM 비활성화 상태입니다.', '참고: 아래 접수/마감 정보는 문서에 표시된 상태를 바탕으로 정리했습니다.']",[],1,2,0,1.0000000000000007e-09,0.0,,0.0,0.0,,,,,
baseline_pure,1,1,The answer fully matches the key facts in the ground truth without material error.,[],[],[],0,0,0,9.999999999999994e-08,0.16666666666666669,0.0,0.16666666666666669,0.35714285714285715,,,,,
baseline_pure,1,1,"The answer partially matches the key facts in the ground truth, but includes a claim that is not supported by the retrieved documents.",[],[],['만 40세 초과는 불가능합니다.'],0,0,1,0.13445273575332958,0.32,0.2608695652173913,0.32,0.4938271604938272,,,,,
baseline_pure,0,0,The answer does not provide the requested information and includes irrelevant claims.,"['지원 대상: 청소년, 대학생, 일반인', '지원 지역: 전국']","['LLM 비활성화 상태입니다.', '候補 문서 목록']",[],2,2,0,6.700845133764386e-06,0.11428571428571428,0.06060606060606061,0.11428571428571428,0.3389830508474576,,,,,
baseline_pure,0,0,The answer does not provide a direct answer to the question and includes unrelated information.,['참여를 원하는 창업기업이 지원받지 못할 수 있는 기업에는 다음과 같은 기업이 포함됩니다: 1. 「중소기업창업 지원법 시행령」 제4조에 따른 창업에서 제외되는 업종에 속하는 기업 2. 신청서 및 사업계획서를 허위로 기재한 기업 3. 국세 및 지방세 체납 또는 금융기관 등으로부터 채무불이행으로 규제중인 기업 4. 기타 심사위원회가 지원 제한의 사유가 있다고 인정하는 기업'],['질문에 대한 직접적인 답은 명시되지 않았습니다. 다만 관련 정보는 다음과 같습니다: 1. [경희창업보육센터(서울)] 2025년 하반기 신규 입주기업 모집(연장) | 서울 | https://startup.khu.ac.kr 2. 『2025 제4회 관악S밸리 START-UP SCALE-UP DEMO DAY』참가기업 모집 | 서울 | https://svalley.kr 3. 2025년 남동발전 창업·Start-UP 서포터스 지원사업 참가기업 모집공고 | 전국 | https://www.gnstartup.kr/business/8339db24-725a-45bc-baf9-d778adc7b0d8/9660/detail 4. 부천창업리그 운영 | https://www.k-startup.go.kr/web/contents/webCMRCZN.do?id=165123&page=1&schM=view 5. 대·중견기업 협업오픈이노베이션 지원 | https://www.k-startup.go.kr/web/contents/webCMRCZN.do?id=171018&page=1&schM=view'],[],1,1,0,9.036020036098453e-08,0.125,0.0,0.10416666666666666,0.41666666666666663,,,,,
baseline_pure,1,1,"The answer partially matches the key facts in the ground truth, but includes a contradictory claim.",[],[],['3년 미만의 예비 창업자는 지원 대상이 아닙니다.'],0,0,1,0.0003922477444758369,0.13740458015267176,0.06201550387596899,0.12213740458015267,0.35856573705179284,,,,,
baseline_pure,1,1,"The answer is partially correct but incomplete, vague, or missing important key facts.",[],[],[],0,0,0,7.259795291154776e-08,0.05405405405405406,,0.05405405405405406,0.22222222222222224,,,,,
baseline_pure,0,0,Parsed from non-JSON text,[],[],[],0,0,0,6.065306597126339e-10,0.0,0.0,0.0,0.0,,,,,
baseline_pure,0,0,"The answer does not provide a clear and accurate answer to the question, and includes irrelevant information and claims that are not supported by the retrieved documents.",['만 40세 이상의 창업 기간이 7년 이상인 기업은 지원 대상에서 제외됩니다.'],"['LLM 비활성화 상태입니다.', '候選문서 목록:', '참고:', 'Retrieved Documents:']","['2025년 창업혁신공간 남부권(수원) 신규 입주기업 모집', '2025년 3차 인천중장년기술창업센터 신규입주기업 모집', '2025년 성북구 중장년 기술창업센터 입주기업 모집공고 2차']",1,4,3,1.0000000000000007e-09,0.0,0.0,0.0,0.0,,,,,
baseline_pure,0,1,"The answer does not provide the exact date of the announcement, which is not specified in the provided text.",['The exact date of the announcement is not specified'],[],[],1,0,0,7.952707287670499e-08,0.07407407407407407,0.0,0.07407407407407407,0.23255813953488375,,,,,
baseline_pure,1,1,"The answer partially matches the key facts in the ground truth without material error, but misses the specific condition of 7 years or less for startup age.",['창업 7년 이내'],[],[],1,0,0,1.0000000000000007e-09,0.0,0.0,0.0,0.0,,,,,
baseline_pure,0,1,The answer contradicts the ground truth and states a materially wrong fact.,['창업 기간 중 가장 짧은 조건은 1년 미만입니다.'],[],['창업 기간 중 가장 짧은 조건은 예비창업자입니다.'],1,0,1,9.193227152249198e-08,0.11764705882352941,0.0,0.11764705882352941,0.24390243902439024,,,,,
baseline_pure,2,1,The answer fully matches the key facts in the ground truth without material error.,[],[],[],0,0,0,,,,,,,,,,
baseline_pure,1,1,The answer partially matches the key facts in the ground truth without material error.,[],[],[],0,0,0,9.878765474230734e-08,0.17391304347826084,0.0,0.17391304347826084,0.5128205128205128,,,,,
baseline_pure,0,0,The answer does not provide the requested information and does not support the claims with the retrieved documents.,"['스타트업 기간 조건에는 1년 미만, 2년 미만, 3년 미만, 5년 미만, 7년 미만, 10년 미만이 모두 포함되어 있습니다.']","['LLM 비활성화 상태입니다.', '候補 문서 목록']",[],1,2,0,8.034284189446515e-08,0.05714285714285715,0.0,0.05714285714285715,0.08130081300813008,,,,,
baseline_pure,1,1,"The answer partially matches the key facts in the ground truth without material error, but misses important key facts.","['대학 외의 일반인, 일반기업, 1인 창조기업']",[],[],1,0,0,7.730551756939462e-08,0.06451612903225806,0.0,0.06451612903225806,0.18181818181818182,,,,,
baseline_pure,0,0,The answer does not provide the requested information and includes irrelevant claims.,['창업 기간 조건: 10년 미만'],['LLM 비활성화 상태입니다.'],[],1,1,0,1.0000000000000007e-09,0.0,0.0,0.0,0.0,,,,,
baseline_pure,2,1,The answer fully matches the key facts in the ground truth without material error.,[],[],[],0,0,0,0.04729181034073558,0.1724137931034483,0.10714285714285712,0.1724137931034483,0.4385964912280701,,,,,
baseline_pure,1,1,"The answer partially matches the key facts in the ground truth without material error, but misses some important key facts.","['창업 기간이 1년 미만, 2년 미만, 3년 미만, 5년 미만, 7년 미만, 10년 미만인 예비창업자와 글로벌 해외 진출이 필요한 기업과 창업자 및 예비창업자']",[],[],1,0,0,5.795782787848099e-10,0.0,0.0,0.0,0.0,,,,,
baseline_pure,1,1,The answer partially matches the key facts in the ground truth without material error.,[],[],[],0,0,0,7.027551482022717e-08,0.046511627906976744,0.0,0.046511627906976744,0.1694915254237288,,,,,
baseline_pure,2,1,The answer fully matches the key facts in the ground truth without material error.,[],[],[],0,0,0,6.775748710336725e-06,0.15730337078651685,0.04597701149425287,0.11235955056179776,0.4827586206896552,,,,,
baseline_pure,0,0,The answer does not provide the requested information and includes irrelevant claims.,"[""창업 기간 조건 중에서 명시적으로 제외되지 않은 조건이 있습니다. 그것은 '1년미만'입니다.""]","['LLM 비활성화 상태입니다.', '창업부터 엑싯까지, 정책자금과 인증·세무·지식재산권 전략 총정리']",[],1,2,0,9.764540896763123e-08,0.13793103448275862,0.0,0.13793103448275862,0.23529411764705885,,,,,
baseline_pure,1,1,"The answer partially matches the key facts in the ground truth, but it provides more specific information about the program, which is not supported by the retrieved documents.",['창업 기간이 1년 미만인 예비 창업자를 위한 특정 프로그램 정보는 제공되지 않았습니다.'],[],[],1,0,0,0.0005269243457954914,0.14035087719298245,0.07272727272727272,0.14035087719298245,0.3100775193798449,,,,,
baseline_pure,0,1,"The answer does not provide any specific information about companies that support both Track 1 and Track 2, and does not contradict any information provided in the ground truth.","['definition of Track 1 and Track 2', 'specific information about companies that support both tracks']",[],[],2,0,0,0.4168620196785084,0.6956521739130436,0.6666666666666666,0.6956521739130436,0.5594405594405594,,,,,
baseline_pure,1,1,"The answer does not provide the exact number of participating companies, but the retrieved documents support the claim that the maximum number of participating companies is 5.",['참가할 기업 수는 최대 5개사 정도로 판단됩니다.'],[],[],1,0,0,7.758410052509767e-06,0.13793103448275862,0.07407407407407408,0.13793103448275862,0.2898550724637681,,,,,
baseline_pure,1,1,The answer partially matches the key facts in the ground truth without material error.,[],[],[],0,0,0,7.190880961294101e-06,0.15,0.052631578947368425,0.15,0.34090909090909094,,,,,
baseline_pure,2,1,"The answer fully matches the key facts in the ground truth without material error. However, it includes a claim that is not supported by the retrieved documents.",[],"['이 공고는 대학생 및 일반인을 대상으로 하며, 연령대별로 구체적인 제한이 명시되어 있습니다']",[],0,1,0,0.10264335838564308,0.2631578947368421,0.21621621621621623,0.2631578947368421,0.641025641025641,,,,,
baseline_pure,1,1,"The answer partially matches the key facts in the ground truth, but misses some important key facts and does not provide a complete answer.","['스타트업을 꿈꾸는 예비 창업가', '현재 스타트업을 운영하고 있는 초기 창업가', '스타트업을 만나 배움과 동기부여를 얻고 싶은 사람']",[],[],3,0,0,7.259795291154776e-08,0.04347826086956522,0.0,0.04347826086956522,0.07936507936507937,,,,,
baseline_pure,1,1,"The answer partially matches the key facts in the ground truth without material error, but misses some important key facts.","['예비 및 초기 관광 스타트업을 위한 교육 프로그램을 목표로 합니다.', '만 20세 미만부터 만 40세 이하까지의 대상 연령이 지원 가능합니다.']",[],[],2,0,0,0.0005956037101186267,0.20408163265306123,0.0851063829787234,0.20408163265306123,0.5617977528089888,,,,,
baseline_pure,0,1,"The generated answer does not provide the requested information about the fields of companies that can participate in the event. The answer only provides a list of events and their details, but does not mention the fields of companies that can participate.","['인슈어테크', '핀테크', '상품 개발', '플랫폼 제휴', '대면 채널 관리', '지적재산권 관리', '위험 관리', 'AI/DT', 'STO/블록체인', 'AI', 'Mobility', 'Robotics', 'Quantum Computing', 'Space Tech', 'Emerging Tech']",[],[],15,0,0,5.976143046671975e-06,0.0923076923076923,0.031746031746031744,0.0923076923076923,0.15544041450777205,,,,,
baseline_pure,0,0,"The answer does not provide the correct information about the organization in charge of IR pitching education, and includes irrelevant information and unsupported claims.",['서경대학교 캠퍼스타운 사업단이 IR 피칭 교육의 주관 기관입니다.'],"['LLM 비활성화 상태입니다.', '候자 문서 목록:', '참고:', '접수/마감 정보는 문서에 표시된 상태를 바탕으로 정리했습니다.']",[],1,4,0,8.210967436686398e-08,0.08695652173913045,,0.08695652173913045,0.3225806451612903,,,,,
baseline_pure,1,1,"The answer partially matches the key facts in the ground truth, but includes a minor error in the age range.",[],[],['청년 창업 지원센터에서 지원하는 대상 연령 범위는 일반적으로 만 18세 이상~만 39세 이하입니다.'],0,0,1,6.756000774035167e-08,0.039999999999999994,0.0,0.039999999999999994,0.1515151515151515,,,,,
baseline_pure,1,1,The answer partially matches the key facts in the ground truth without material error.,['만 20세 이상 ~ 만 39세 이하'],[],[],1,0,0,4.758326453973737e-06,0.07317073170731707,0.025,0.04878048780487805,0.2459016393442623,,,,,
baseline_pure,1,1,The answer partially matches the key facts in the ground truth without material error.,[],[],[],0,0,0,7.630350645544291e-06,0.17647058823529416,0.060606060606060594,0.17647058823529416,0.4545454545454546,,,,,
baseline_pure,2,1,The answer fully matches the key facts in the ground truth without material error.,[],[],[],0,0,0,6.057952803619277e-06,0.13333333333333333,0.034482758620689655,0.13333333333333333,0.4,,,,,
