qid,query,retrieval_gt,generation_gt,data_type,metadata
fc8fc03d-d82c-4d2d-b830-f2715bed8c89,강원 로컬벤처기업 성장단계별 육성사업의 지원 대상은 무엇인가요?,"[array(['111'], dtype=object)]","['강원 로컬벤처기업 성장단계별 육성사업의 지원 대상은 예비창업자 및 업력 1년 ~ 7년 미만의 기업입니다.'
 '예비창업자 및 업력 1년 ~ 7년 미만']",business,{'dummy': None}
702f7ab5-9991-4157-a0a7-1150f76f1d4f,정읍형 로컬 청년창업 패키지 지원사업의 지원 대상은 어떻게 되나요?,"[array(['420'], dtype=object)]","['정읍형 로컬 청년창업 패키지 지원사업의 지원 대상은 지역의 예비 또는 초기 청년창업가로, 연령 조건은 만 18세 이상 만 39세 이하입니다.'
 '만18세이상 만39세이하']",business,{'dummy': None}
98d41ab3-3fb1-4e7d-82c2-bd53fe9cae20,크라우드 펀딩 지원사업의 지원 대상은 무엇인가요?,"[array(['566'], dtype=object)]",['크라우드 펀딩 지원사업의 지원 대상은 진주시에 소재한 7년 미만(예비) 창업기업입니다.' '진주시 소재 7년 미만 창업기업'],business,{'dummy': None}
d075cba0-37a6-45f1-933b-3feab1724747,2026년 경북 소재 사회적 경제기업을 대상으로 하는 글로벌 진출 지원 프로그램의 지원 규모는 어떻게 되나요?,"[array(['78'], dtype=object)]","['2026년 경북 소재 사회적 경제기업을 대상으로 하는 글로벌 진출 지원 프로그램의 지원 규모는 10개사 내외입니다.'
 '10개사 내외']",business,{'dummy': None}
dfa40916-64d7-4c76-badd-553f2f6ba658,K-Global 액셀러레이팅의 지원 대상은 무엇인가요?,"[array(['182'], dtype=object)]","['K-Global 액셀러레이팅의 지원 대상은 벤처투자 촉진에 관한 법률 제24조에 따라 중소벤처기업부에 등록한 민간창업기획자(단, 대한민국 국적자가 액셀러레이터 대표) 등입니다.'
 '중소벤처기업부에 등록한 민간창업기획자']",business,{'dummy': None}
ae238402-7ad2-46d1-96ff-9db9c3059c60,반려동물산업 분야에서 창업을 지원받기 위한 예비창업자는 누가 될 수 있나요?,"[array(['285'], dtype=object)]",['반려동물산업 분야의 예비창업자는 춘천시민이어야 합니다.' '춘천시민'],business,{'dummy': None}
f72883a0-e471-44b9-a9c7-16f614182974,대구광역시에서 본사 및 주사업장을 보유한 기술기반 창업‧벤처 기업을 대상으로 하는 투자 및 상장 활성화 지원 예산은 얼마인가요?,"[array(['11'], dtype=object)]","['대구광역시 내에 본사 및 주사업장을 보유한 기술기반 창업‧벤처 기업을 대상으로 하는 투자 및 상장 활성화 지원 예산은 총 200백만원(시비)입니다. 이 예산은 투자촉진和支持和鼓励创新，以及对新技术和新产品的推广。这些政策旨在促进经济增长，提高国家竞争力，并确保社会福利。'
 '200백만원']",business,{'dummy': None}
a3f021e1-c442-455d-8cb3-ab8950e1f0bf,청년농업인 창업 인큐베이팅 지원 사업의 예산是多少万元？,"[array(['470'], dtype=object)]","['支持的预算为120,000千韩元，转换为万元是中国的货币单位，1千韩元等于1元人民币，因此预算为120,000千元韩元等于120,000万元人民币。但是，根据提供的信息，更准确的回答应该是120,000千韩元，因为原文未明确指出是人民币。如果按照题目的要求转换成万元，那么答案是120,000万元韩元。'
 '120万']",business,{'dummy': None}
986cabf1-7145-480d-9127-64110ca1c78e,우수한 아이디어와 높은 성장 잠재력을 가진 예비 창업자를 선발하기 위해 비즈니스 플랜 콘테스트를 개최하는 이유는 무엇인가요?,"[array(['79'], dtype=object)]","['비즈니스 플랜 콘테스트를 개최함으로써 공개 평가를 통해 가장 우수한 아이디어와 높은 성장 잠재력을 가진 예비 창업자를 선발할 수 있습니다. 이로 인해 선정된 예비 창업자는 전문 컨설팅과 사업화 자금을 받게 되어 기업가형 소상공인으로 성장할 기회를 얻게 됩니다.'
 '공개 평가를 통한 예비 창업자 선발']",business,{'dummy': None}
326daee7-02d9-4048-87fe-1bcdc7799116,벤처 및 스타트업공동연구장비 활용 지원 사업의 지원 대상은 무엇인가요?,"[array(['350'], dtype=object)]",['벤처 및 스타트업공동연구장비 활용 지원 사업의 지원 대상은 바이오분야 벤처 및 스타트업입니다.' '바이오분야 벤처 및 스타트업'],business,{'dummy': None}
06d94efa-02f7-4978-b939-4b8c371cb313,2026년 창업도약패키지 지원사업의 지원 규모는 어떻게 되나요?,"[array(['56'], dtype=object)]",['2026년 창업도약패키지 지원사업의 지원 규모는 30개사 내외입니다.' '30개사 내외'],business,{'dummy': None}
fe891bda-d4b8-4e5c-9853-65fbe7b8fae3,창업지원사업의 지원 대상은 누구인가요?,"[array(['119'], dtype=object)]","['창업지원사업의 지원 대상은 인제군에 주민등록이 되어 있는 청년(19세 이상~49세 이하) 및 중·장년(50세 이상~64세 이하)입니다. 단, 공고일 기준 1년 이내 사업자 등록이 되어 있던 자는 제외됩니다.'
 '인제군에 주민등록이 되어 있는 청년(19세 이상~49세 이하) 및 중·장년(50세 이상~64세 이하)']",business,{'dummy': None}
5d700f34-ec25-4050-82fc-bf36c50e76a9,G-스타트업 창업도약지원사업의 지원 대상은 무엇인가요?,"[array(['110'], dtype=object)]",['G-스타트업 창업도약지원사업의 지원 대상은 업력 3년~7년 미만의 창업자입니다.' '업력 3년~7년 미만 창업자'],business,{'dummy': None}
a18b4744-e4f3-47e7-a198-f776814aa7da,소셜벤처 창업생태계 활성화 사업의 지원 대상은 무엇인가요?,"[array(['589'], dtype=object)]",['소셜벤처 창업생태계 활성화 사업의 지원 대상은 창업 7년 이내 기업입니다.' '창업 7년 이내 기업'],business,{'dummy': None}
9eb658d1-10f5-4525-af95-7aa26e3dd1c4,장애인 창업사업화 지원 프로그램의 지원 예산은 얼마나 되나요?,"[array(['370'], dtype=object)]","['장애인 창업사업화 지원 프로그램의 지원 예산은 정부안 기준으로 1,240백만원입니다.' '1,240백만원']",business,{'dummy': None}
fde210b9-b4cf-498d-ac98-bdb1e955d67b,C-Lab의 지원 대상은 무엇인가요?,"[array(['235'], dtype=object)]",['C-Lab의 지원 대상은 창업 7년 미만 대구 소재 법인기업입니다.' '창업 7년 미만 대구 소재 법인기업'],business,{'dummy': None}
