mode,correctness,faithfulness,reason,missing_nuggets,unsupported_claims,contradicted_claims,missing_nuggets_count,unsupported_claims_count,contradicted_claims_count,bleu,rouge1_f1,rouge2_f1,rougeL_f1,meteor,sem_score,coherence,consistency,fluency,relevance
no_intent_dense,2,1,The answer fully matches the key facts in the ground truth without material error.,[],[],[],0,0,0,7.875110621102695e-08,0.07407407407407407,,0.07407407407407407,0.2857142857142857,,,,,
no_intent_dense,1,1,"The answer is partially correct but incomplete, vague, or missing important key facts. The answer correctly states the target age range of the youth entrepreneurship training program as 18-39 years old, but it does not provide a clear explanation of the program's contents and features. The answer also includes some irrelevant information and does not provide a clear summary of the program's goals and objectives.",[],[],[],0,0,0,9.112929268557949e-08,0.1212121212121212,0.0,0.1212121212121212,0.30769230769230776,,,,,
no_intent_dense,1,1,"The answer partially matches the key facts in the ground truth, but includes a claim that is not supported by the retrieved documents.",[],[],['만 40세 초과는 불가능합니다.'],0,0,1,0.1777835117834348,0.38095238095238093,0.3157894736842105,0.38095238095238093,0.5194805194805194,,,,,
no_intent_dense,1,1,"The answer partially matches the key facts in the ground truth without material error, but misses some important key facts.","['대학, 연구기관, 일반기업, 1인 창조기업']",[],[],1,0,0,0.00028923919197833823,0.06060606060606061,0.041237113402061855,0.06060606060606061,0.24390243902439024,,,,,
no_intent_dense,0,0,The answer does not provide a direct answer to the question and includes unrelated information.,['참여를 원하는 창업기업이 지원받지 못할 수 있는 기업에는 다음과 같은 기업이 포함됩니다: 1. 「중소기업창업 지원법 시행령」 제4조에 따른 창업에서 제외되는 업종에 속하는 기업 2. 신청서 및 사업계획서를 허위로 기재한 기업 3. 국세 및 지방세 체납 또는 금융기관 등으로부터 채무불이행으로 규제중인 기업 4. 기타 심사위원회가 지원 제한의 사유가 있다고 인정하는 기업'],['질문에 대한 직접적인 답은 명시되지 않았습니다. 다만 관련 정보는 다음과 같습니다: 1. [경희창업보육센터(서울)] 2025년 하반기 신규 입주기업 모집(연장) | 서울 | https://startup.khu.ac.kr 2. 『2025 제4회 관악S밸리 START-UP SCALE-UP DEMO DAY』참가기업 모집 | 서울 | https://svalley.kr 3. 2025년 남동발전 창업·Start-UP 서포터스 지원사업 참가기업 모집공고 | 전국 | https://www.gnstartup.kr/business/8339db24-725a-45bc-baf9-d778adc7b0d8/9660/detail 4. 부천창업리그 운영 | https://www.k-startup.go.kr/web/contents/webCMRCZN.do?id=165123&page=1&schM=view 5. 대·중견기업 협업오픈이노베이션 지원 | https://www.k-startup.go.kr/web/contents/webCMRCZN.do?id=171018&page=1&schM=view'],[],1,1,0,9.036020036098453e-08,0.125,0.0,0.10416666666666666,0.41666666666666663,,,,,
no_intent_dense,1,1,"The answer partially matches the key facts in the ground truth, but includes a contradictory claim.",[],[],['3년 미만의 예비 창업자는 지원 대상이 아닙니다.'],0,0,1,0.0016562421686045529,0.6666666666666665,0.23999999999999996,0.4444444444444445,0.6122448979591837,,,,,
no_intent_dense,1,1,"The answer partially matches the key facts in the ground truth, but misses important key facts.",['대한민국 모든 산업 분야 중소·벤처기업'],[],[],1,0,0,5.9460355750136145e-08,0.02469135802469136,,0.02469135802469136,0.11235955056179775,,,,,
no_intent_dense,1,1,"The answer partially matches the key facts in the ground truth without material error, but misses the important fact that the target audience is limited to those who are interested in local content and reside in Seoul or are representatives or employees of companies in Gangbuk-gu.",['강북구 거주자 또는 강북구 기업 대표자 및 임직원'],[],[],1,0,0,1.0745699318235429e-07,0.19047619047619044,0.0,0.19047619047619044,0.2898550724637681,,,,,
no_intent_dense,2,1,"The answer correctly states that companies with a 7-year or more entrepreneurial period over 40 years old are excluded from the support target. However, the answer does not mention the specific age range of 20-39 years old, which is mentioned in the ground truth.",[],[],['만 40세 이상의 창업 기간이 7년 이상인 기업은 지원 대상에서 제외됩니다.'],0,0,1,1.2367045830770362e-05,0.2580645161290323,0.13793103448275862,0.2580645161290323,0.31496062992125984,,,,,
no_intent_dense,0,1,"The answer provides a specific date range for the announcement, but the ground truth states that the exact date is not specified.",['The exact date of the announcement is not specified'],[],[],1,0,0,7.66302955439103e-08,0.06451612903225806,0.0,0.06451612903225806,0.21276595744680854,,,,,
